Stock,Date,Buy(-1) / Sell (1),Price per Share,Share
BTC,4/20/2021,-1,56219.22,0.08895382
BTC,4/26/2021,-1,53574.24,0.01866335
BTC,4/27/2021,1,54964.71,0.00909675
BTC,5/4/2021,1,54691.62,0.0182818
DODGE,4/19/2021,-1,0.380287,1315
DODGE,4/25/2021,-1,0.260847,766
DODGE,5/4/2021,1,0.528122,947
DODGE,5/4/2021,1,0.530023,941
COUR,4/1/2021,-1,45.5,21.97812
COUR,4/1/2021,-1,51.93,20.130406
COUR,4/12/2021,-1,50.88,19.65412
COUR,4/16/2021,-1,46.08,30
COUR,4/26/2021,1,48.72,20
COUR,5/4/2021,1,45.5,20
